PDE variable 0,arc_length
2.307e-09,83.7
1.00349e-09,83.8
-2.73408e-09,83.9
-4.68978e-10,84
-3.61813e-09,84.1
-5.50911e-10,84.2
-8.56526e-10,84.3
3.10203e-09,84.4
-1.38434e-09,84.5
-8.41709e-09,84.6
2.82956e-09,84.7
5.54647e-09,84.8
-2.50845e-09,84.9
-5.86729e-09,85
-2.31533e-09,85.1
4.11556e-09,85.2
-2.02697e-09,85.3
-5.24985e-09,85.4
1.17873e-09,85.5
-1.07405e-09,85.6
-2.11802e-10,85.7
7.65244e-10,85.8
-4.5244e-09,85.9
-4.32106e-09,86
-6.11758e-10,86.1
5.03947e-09,86.2
-8.2292e-10,86.3
-5.88254e-09,86.4
6.31467e-09,86.5
2.83471e-09,86.6
-8.42987e-10,86.7
-4.43174e-09,86.8
-9.22031e-10,86.9
4.7448e-09,87
-1.24197e-09,87.1
6.29814e-10,87.2
1.68301e-09,87.3
-4.05055e-09,87.4
4.48875e-09,87.5
3.28464e-09,87.6
-2.78261e-09,87.7
-2.83478e-09,87.8
2.57104e-09,87.9
5.679e-09,88
4.54378e-10,88.1
-3.01564e-09,88.2
4.68496e-09,88.3
3.94369e-10,88.4
-1.7816e-10,88.5
1.10752e-09,88.6
4.58484e-09,88.7
1.60041e-09,88.8
1.33433e-09,88.9
5.65604e-09,89
-4.78465e-10,89.1
-4.55248e-09,89.2
5.17572e-09,89.3
5.48746e-10,89.4
2.10869e-09,89.5
-3.12734e-09,89.6
3.00231e-09,89.7
4.76968e-09,89.8
-1.40869e-09,89.9
2.76129e-09,90
3.02954e-09,90.1
-5.33741e-09,90.2
4.07253e-09,90.3
3.44072e-09,90.4
3.09389e-09,90.5
-2.28373e-09,90.6
-2.6641e-10,90.7
4.45126e-09,90.8
1.28763e-09,90.9
-3.35675e-09,91
3.3246e-09,91.1
-2.84064e-09,91.2
5.00173e-10,91.3
2.32196e-09,91.4
8.8807e-10,91.5
-4.99078e-09,91.6
-4.56194e-10,91.7
2.71054e-09,91.8
1.04844e-09,91.9
-1.96223e-09,92
2.15105e-09,92.1
4.65032e-09,92.2
6.34228e-10,92.3
-5.57279e-09,92.4
4.97515e-09,92.5
-1.24663e-09,92.6
-3.4217e-09,92.7
2.60784e-09,92.8
-2.65498e-09,92.9
-1.48052e-09,93
2.84105e-09,93.1
-1.55425e-09,93.2
-8.1246e-10,93.3
-8.18333e-09,93.4
7.65974e-10,93.5
4.81808e-09,93.6
-6.3106e-09,93.7
-3.76758e-09,93.8
1.71736e-09,93.9
-8.41886e-10,94
3.09805e-10,94.1
-4.59965e-09,94.2
-7.38089e-10,94.3
-7.00658e-11,94.4
-7.82351e-11,94.5
1.38013e-09,94.6
-4.54341e-09,94.7
-5.22375e-09,94.8
4.86487e-09,94.9
-1.40044e-09,95
-6.80223e-09,95.1
-4.85798e-09,95.2
1.59612e-09,95.3
3.34075e-09,95.4
-2.39883e-09,95.5
-4.64523e-09,95.6
-1.08626e-09,95.7
-4.42235e-10,95.8
2.25518e-10,95.9
3.21251e-11,96
-5.29862e-09,96.1
-2.20582e-09,96.2
5.9754e-09,96.3
5.06057e-10,96.4
-2.94998e-09,96.5
-2.18525e-09,96.6
5.94286e-10,96.7
2.22015e-09,96.8
-5.06544e-09,96.9
-4.47491e-10,97
4.74542e-10,97.1
-1.10953e-09,97.2
5.31801e-10,97.3
-1.85499e-09,97.4
-3.24236e-09,97.5
3.01857e-09,97.6
-4.11039e-10,97.7
2.21671e-09,97.8
-9.38671e-10,97.9
-9.09944e-10,98
7.36621e-09,98.1
-1.31991e-09,98.2
-4.58386e-09,98.3
4.49397e-09,98.4
-2.0844e-09,98.5
4.14963e-09,98.6
1.48476e-09,98.7
-2.88124e-09,98.8
1.6493e-09,98.9
-4.19439e-11,99
1.06449e-09,99.1
2.41374e-09,99.2
-5.12319e-09,99.3
1.39231e-09,99.4
4.97935e-09,99.5
-7.81936e-10,99.6
2.05042e-09,99.7
2.62894e-09,99.8
-8.70444e-12,99.9
4.35717e-09,100
